pitcher_id,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
592662,SP,Robbie Ray,30,12,12,0.5,3.71,32,32,0,0,0,0,189,163,80,78,32,62,0,212,7,0,5,775,98,4.16,1.19,7.8,1.5,3,10.1,3.42
669302,SP,Logan Gilbert,25,13,6,0.684,3.2,32,32,0,0,0,0,185.2,170,71,66,19,49,2,174,6,0,5,766,114,3.46,1.18,8.2,0.9,2.4,8.4,3.55
594835,SP,Marco Gonzales*,30,10,15,0.4,4.13,32,32,0,0,0,0,183,194,97,84,30,50,1,103,7,0,1,783,89,5.05,1.333,9.5,1.5,2.5,5.1,2.06
623167,SP,Chris Flexen,27,8,9,0.471,3.73,33,22,11,0,0,2,137.2,132,61,57,17,51,3,95,2,0,7,590,98,4.49,1.329,8.6,1.1,3.3,6.2,1.86
669923,SP,George Kirby,24,8,5,0.615,3.39,25,25,0,0,0,0,130,135,54,49,13,22,0,133,5,0,4,542,108,2.99,1.208,9.3,0.9,1.5,9.2,6.05
622491,SP,Luis Castillo,29,4,2,0.667,3.17,11,11,0,0,0,0,65.1,55,26,23,6,17,0,77,4,0,0,266,116,2.91,1.102,7.6,0.8,2.3,10.6,4.53
666374,RP,Matt Brash,24,4,4,0.5,4.44,39,5,3,0,0,0,50.2,46,25,25,3,33,1,62,2,0,3,222,83,3.51,1.559,8.2,0.5,5.9,11,1.88
682171,RP,Penn Murfee,28,4,0,1,2.99,64,1,15,0,0,0,69.1,48,23,23,7,18,1,76,2,0,2,272,123,3.1,0.952,6.2,0.9,2.3,9.9,4.22
662253,RP,Andrés Muñoz,23,2,5,0.286,2.49,64,0,12,0,0,4,65,43,20,18,5,15,3,96,4,0,4,248,147,2.04,0.892,6,0.7,2.1,13.3,6.4
650895,RP,Diego Castillo,28,7,3,0.7,3.64,59,0,23,0,0,7,54.1,40,27,22,5,22,4,53,2,0,1,222,101,3.68,1.141,6.6,0.8,3.6,8.8,2.41
670036,RP,Matt Festa,29,2,0,1,4.17,53,0,13,0,0,2,54,43,26,25,10,18,0,64,2,0,1,219,88,4.26,1.13,7.2,1.7,3,10.7,3.56
657024,RP,Erik Swanson,28,3,2,0.6,1.68,57,1,9,0,0,3,53.2,39,11,10,3,10,1,70,1,0,1,206,219,1.84,0.913,6.5,0.5,1.7,11.7,7
621366,RP,Ryan Borucki,28,2,0,1,4.26,21,0,2,0,0,0,19,17,9,9,4,6,0,13,1,0,5,78,88,5.59,1.211,8.1,1.9,2.8,6.2,2.17
543548,RP,Tommy Milone,35,1,1,0.5,5.4,7,0,3,0,0,0,16.2,14,10,10,4,6,0,5,1,0,0,69,69,6.89,1.2,7.6,2.2,3.2,2.7,0.83
608716,RP,Drew Steckenrider,31,0,2,0,5.65,16,0,3,0,0,2,14.1,21,9,9,2,5,0,10,0,0,0,68,66,4.58,1.814,13.2,1.3,3.1,6.3,2
489265,RP,Sergio Romo,39,0,0,,8.16,17,0,3,0,0,0,14.1,18,13,13,6,4,0,11,0,0,2,65,46,7.86,1.535,11.3,3.8,2.5,6.9,2.75
664948,RP,Anthony Misiewicz*,27,0,1,0,4.61,17,0,3,0,0,0,13.2,14,7,7,1,6,0,8,0,0,0,57,82,4.21,1.463,9.2,0.7,4,5.3,1.33
571510,RP,Matthew Boyd,31,2,0,1,1.35,10,0,1,0,0,0,13.1,5,2,2,0,8,3,13,1,0,0,53,279,3.19,0.975,3.4,0,5.4,8.8,1.63
656954,RP,Justus Sheffield,26,1,0,1,3.86,6,1,3,0,0,0,11.2,9,5,5,1,6,0,7,1,0,0,51,98,4.83,1.286,6.9,0.8,4.6,5.4,1.17
670090,RP,Wyatt Mills,27,0,0,,4.15,8,0,1,0,0,0,8.2,5,4,4,0,3,0,6,2,0,1,34,92,3.46,0.923,5.2,0,3.1,6.2,2
670990,RP,Yohan Ramirez,27,1,0,1,7.56,7,0,3,0,0,0,8.1,7,7,7,3,6,0,10,2,0,1,40,51,8.27,1.56,7.6,3.2,6.5,10.8,1.67
606273,RP,Roenis Elías,33,0,0,,3.52,7,0,5,0,0,0,7.2,7,3,3,1,3,0,6,0,0,0,33,109,4.42,1.304,8.2,1.2,3.5,7,2
571704,RP,Ken Giles,31,0,0,,0,5,0,3,0,0,0,4.1,1,0,0,0,4,0,6,0,0,1,18,,3.11,1.154,2.1,0,8.3,12.5,1.5
571863,RP,Matt Koch,31,0,0,,8.31,4,0,2,0,0,0,4.1,5,4,4,2,1,0,3,0,0,0,19,48,8.42,1.385,10.4,4.2,2.1,6.2,3
664849,RP,Danny Young,28,0,0,,7.36,2,0,2,0,0,0,3.2,7,3,3,1,2,0,5,0,0,0,20,55,5.57,2.455,17.2,2.5,4.9,12.3,2.5
664948,RP,Brennan Bernardino*,30,0,1,0,3.86,2,0,2,0,0,0,2.1,3,3,1,0,2,1,0,0,0,0,13,112,5.68,2.143,11.6,0,7.7,0,0
620443,RP,Luis Torrens,26,1,0,1,4.5,2,0,2,0,0,0,2,3,2,1,1,0,0,0,0,0,0,10,98,9.61,1.5,13.5,4.5,0,0,
676617,RP,Riley O'Brien,27,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,5,,4.11,2,9,0,9,9,1
623149,CL,Paul Sewald,32,5,4,0.556,2.67,65,0,37,0,0,20,64,32,21,19,10,17,4,72,4,0,1,242,138,3.88,0.766,4.5,1.4,2.4,10.1,4.24